review-data href,audience-reviews__name href,audience-reviews__name,audience-reviews__duration,audience-reviews__review,button--link,audience-reviews__image-avatar src
https://www.rottentomatoes.com/profiles/M4bCDBHzBC1jSDGfrwhb8sx4tXXCNpHzaFkbIyvfLLCVJi96H6XuXLuQQCGzu2NCKkcRWiZZCVjuKGu8JFw6faxhBWsZGfJyCWVFzMTNetWe,https://www.rottentomatoes.com/profiles/M4bCDBHzBC1jSDGfrwhb8sx4tXXCNpHzaFkbIyvfLLCVJi96H6XuXLuQQCGzu2NCKkcRWiZZCVjuKGu8JFw6faxhBWsZGfJyCWVFzMTNetWe,Aleksander S,"May 30, 2025","While entertaining and moving, Gladiator is trying to slay too many gladiators with one sword slash. While the character driven part of the story will keep the audiences engaged, the script falls flat in the world building department. Some plot holes may leave viewers puzzled.",,
https://www.rottentomatoes.com/profiles/OyLTd0Fg8TrpswoHlAHBlFkLtkkC81Hr9CWpIrqu22CNnizLT4vsP4SKKCnouG1SeyHRztGGCmPcL0SmLcYvhoYcoyIWkIDnhmWSq8IaBc8D,https://www.rottentomatoes.com/profiles/OyLTd0Fg8TrpswoHlAHBlFkLtkkC81Hr9CWpIrqu22CNnizLT4vsP4SKKCnouG1SeyHRztGGCmPcL0SmLcYvhoYcoyIWkIDnhmWSq8IaBc8D,Jaiaditya T,"May 24, 2025",Yes I am entertained.,,
https://www.rottentomatoes.com/profiles/ejeSy2TGYTQ6uNZFGmSgvuw1SXXCz2fNbhbkSwjFDDClLiOKsbdhwrT11CAxuMOFKaSqBuWWCAyILPFJBIeNtlpi1MsZYIvYSDjiLbi6XT1z,https://www.rottentomatoes.com/profiles/ejeSy2TGYTQ6uNZFGmSgvuw1SXXCz2fNbhbkSwjFDDClLiOKsbdhwrT11CAxuMOFKaSqBuWWCAyILPFJBIeNtlpi1MsZYIvYSDjiLbi6XT1z,Phil J,"May 23, 2025","This movie will live on for years. Amazing cast, great mix of action and drama. A timeless classic!",,
https://www.rottentomatoes.com/profiles/Qw4uWximWh0espKTvXIXGuL0u66Cb2HmKcQYS40iqqCRLi6jUQ9I4bFppCdkI0zirwCoxIDDC8MHAeh28TnpFXyiQksNRhpjtXJuvrsaMiXR,,,"May 20, 2025","ARE YOU NOT ENTERTAINED?! This movie is an incredible historical fiction (sort of) revenge story. I highly recommend this movie to anyone. Russel Crowe's performance was outstanding like always, and Joquain Phoenix portrayed a Caesar like no one else could.",,
https://www.rottentomatoes.com/profiles/V1juAXSMbuL4h2GTzoHX4SkNIooCRPfkJSqyTKeFeeC6vipDTdgIrGfbbC6KuGxIxRuD2fMMC1lTyQFoktBkSnkHR6TpDI2yHJasDnTnOCyR,https://www.rottentomatoes.com/profiles/V1juAXSMbuL4h2GTzoHX4SkNIooCRPfkJSqyTKeFeeC6vipDTdgIrGfbbC6KuGxIxRuD2fMMC1lTyQFoktBkSnkHR6TpDI2yHJasDnTnOCyR,Daniel M,"May 14, 2025",Such an epic movie with a good story with incredible performances by Phoenix and Crow.,,
https://www.rottentomatoes.com/profiles/42zcVaT61FK4iX4fxeH9pHKZHPPC1duzDtxeCB2iyyC8oiRaIdQIqriyyCGwuavF96HmwCOOC2auolsKgfb6uyGtBNsP4TbZfdkul2CygTMV,https://www.rottentomatoes.com/profiles/42zcVaT61FK4iX4fxeH9pHKZHPPC1duzDtxeCB2iyyC8oiRaIdQIqriyyCGwuavF96HmwCOOC2auolsKgfb6uyGtBNsP4TbZfdkul2CygTMV,Owen P,"May 10, 2025","Russell Crowe was built for this role. Even if you've never heard of the Romans, this is a brilliant and inspiring movie that stirs up masculine urges to conquer, and fight for what's right.",,
https://www.rottentomatoes.com/profiles/620HWvhYMFg2HBvT6BHrAsGls99CeatjZhklTm0cNNCqaipKhZDs6LinnCeruYqfWMuk9smmCkZTB6Hgvh2YTgdFw2CvAsgYFGXHlyIbOfe6,https://www.rottentomatoes.com/profiles/620HWvhYMFg2HBvT6BHrAsGls99CeatjZhklTm0cNNCqaipKhZDs6LinnCeruYqfWMuk9smmCkZTB6Hgvh2YTgdFw2CvAsgYFGXHlyIbOfe6,Jaime A,"May 6, 2025","I really didnt had hope on this movie, I didn’t know why it was said to be good, so I watched it just to give my opinion, GOD, this movie may be boring on the first 10 minutes but besides that the movie is entertaining on a way that you can’t pause it and just only see it to the end, a incredibly actuation and gory scenes that makes this movie feel like Rome, I recommend this movie a lot, easily enters my top 10 favorite movies.",SHOW MORE,
https://www.rottentomatoes.com/profiles/2dZSWNHZoSJ0H9YuemTgKI18hxxCzOc6ohv8sDmCAACnqiWZI8Ysw6I44CPNuJVskpSMYfNNCP1hpRIADSkOFbRul8HBzTPDugJIZQCOlFml,https://www.rottentomatoes.com/profiles/2dZSWNHZoSJ0H9YuemTgKI18hxxCzOc6ohv8sDmCAACnqiWZI8Ysw6I44CPNuJVskpSMYfNNCP1hpRIADSkOFbRul8HBzTPDugJIZQCOlFml,Martin W,"May 5, 2025","Violent yes, but also intelligent and beautifully written. Add in some absolutely stellar performances and you have an instant classic! A must see.",,
https://www.rottentomatoes.com/profiles/WYeT8WIDwIG9T9rTWeu8aHRDsGGCaNFwkTPQhZ6HbbCexiaoSJYfW2IeeC64uMYtxjSwbF11CYvhywIOkFljtkOuJecqGCbNFVvhOYSl2i4k,,,"May 5, 2025","This was a masterpiece. Excellent story, excellent main character , costumes, fight scenes, back story, dialogues, music, everything. A masterpiece",,
https://www.rottentomatoes.com/profiles/NwKtWJTkphmWhomIpgIdgSQBubbCAPh8AcxrFZGIRRCv9ideI8viAYcGGCRdu1dtl1sqGt99CDxfrNFlKcZ0C9XIb2CwVcwbi6PhwDF2WtGp,https://www.rottentomatoes.com/profiles/NwKtWJTkphmWhomIpgIdgSQBubbCAPh8AcxrFZGIRRCv9ideI8viAYcGGCRdu1dtl1sqGt99CDxfrNFlKcZ0C9XIb2CwVcwbi6PhwDF2WtGp,Thomas G,"Apr 22, 2025","Revenge is a dish best served up by Russell Crowe. Excellent acting, great plot, amazing sets and costumes.",,
