review-data href,audience-reviews__name href,audience-reviews__name,audience-reviews__duration,audience-reviews__review,button--link,audience-reviews__name (2),audience-reviews__verified
https://www.rottentomatoes.com/profiles/ryOFpvuLJsGDS1esQKuVvTGZfZZCPOHMaI6MFVYfGGCZQiPrSArsDnhmmC4NuXDHgWubjFggCORCYMCvetqauKJtGQFbRcQkuVwiDqHWDfyW,,,"May 16, 2025","The movie's plot was really sad. What white boys did to the Indians, but there was literally no need for the runtime to be 3 hours and 28 minutes, I mean what the hell??? That is why 2 stars and I am being generous...",,,
https://www.rottentomatoes.com/profiles/yrlu8rhqkFKzFMdUPwuq0FAOHjjCBdfwJCzkTevf66CjAiBNTYMC2AszzC6gT4vf1jsWzixxCldF4Bf8xUz2C24fDRFBRH1wHwLfONs2pH9Z,https://www.rottentomatoes.com/profiles/yrlu8rhqkFKzFMdUPwuq0FAOHjjCBdfwJCzkTevf66CjAiBNTYMC2AszzC6gT4vf1jsWzixxCldF4Bf8xUz2C24fDRFBRH1wHwLfONs2pH9Z,T. Scott N,"May 15, 2025",Bloated and a huge time suck.,,,
https://www.rottentomatoes.com/profiles/WpdCQdtRVC09c9AHvKcogIRPSGGCaeTwpiaMcP0SbbCexiapiJeFWqHeeCzdIMPuxjSpof11CYNTl0iOKHlaFkOuJecqGCb2caOcOAfZ0C4q,https://www.rottentomatoes.com/profiles/WpdCQdtRVC09c9AHvKcogIRPSGGCaeTwpiaMcP0SbbCexiapiJeFWqHeeCzdIMPuxjSpof11CYNTl0iOKHlaFkOuJecqGCb2caOcOAfZ0C4q,Morris W,"May 13, 2025",Hollywood's attempt to give us morality lessons?,,,
https://www.rottentomatoes.com/profiles/bJ4faMfyPuMvTOJFb4tvoh0OsbbCkGFwBhKGTjbh44CzlijNhNqTVJIBBCRNI8KiJghRLIXXCVqsxKiOesa8hWKIyPTJWs6OSoeI09HVwtwy,https://www.rottentomatoes.com/profiles/bJ4faMfyPuMvTOJFb4tvoh0OsbbCkGFwBhKGTjbh44CzlijNhNqTVJIBBCRNI8KiJghRLIXXCVqsxKiOesa8hWKIyPTJWs6OSoeI09HVwtwy,S M,"May 11, 2025","Excelllent story, well made, a bit slow.",,,
https://www.rottentomatoes.com/profiles/QDrf6pHm6FkwFpwFvesJKSL6H66CbqumKcy4foMfqqCRLiPzSQNH4GTppCdkIn6IroteZuDDC8nfx8ubgtxpIX4sQ1INBs46HXzIvaHaphMQ,https://www.rottentomatoes.com/profiles/QDrf6pHm6FkwFpwFvesJKSL6H66CbqumKcy4foMfqqCRLiPzSQNH4GTppCdkIn6IroteZuDDC8nfx8ubgtxpIX4sQ1INBs46HXzIvaHaphMQ,james l,"May 9, 2025","Sat through about an hour, then switched off. Just couldn't get into this one.",,,
https://www.rottentomatoes.com/profiles/OyBiBrsgoujaFwoHlzTBahkAFkkC8Bur9CWnfrli22CNnizWi4LHLRsKKCnoub9TexTRqcGGCk6unJukpTlotA8Hr8cWetDYFRaFm1uaQt8A,https://www.rottentomatoes.com/profiles/OyBiBrsgoujaFwoHlzTBahkAFkkC8Bur9CWnfrli22CNnizWi4LHLRsKKCnoub9TexTRqcGGCk6unJukpTlotA8Hr8cWetDYFRaFm1uaQt8A,AJ L,"May 7, 2025","This is the effort of an outdated director. This style doesn't play anymore, and doing stories where Native Americans are so poorly treated border on trauma porn. A shame!",,,
https://www.rottentomatoes.com/profiles/62duWGHgMCglhz1C6XhrNiGLF99CvDij0SDBf9KuNNCqaipoF4dH6mfnnCeruYbhWGik0FmmCkbFjoswMI9MCrwuwJILYcg2fGXHKbIWVI8y,https://www.rottentomatoes.com/profiles/62duWGHgMCglhz1C6XhrNiGLF99CvDij0SDBf9KuNNCqaipoF4dH6mfnnCeruYbhWGik0FmmCkbFjoswMI9MCrwuwJILYcg2fGXHKbIWVI8y,Kim P,"May 3, 2025","If you are really psyched to see what you know to be a really good movie, then note and admire the actors performances, cinematography and music yet STILL fall asleep three times during the movie...is it REALLY a good movie?",,,
https://www.rottentomatoes.com/profiles/pZ0IMKfk1Hpxiy9IlwIp8FgyIRRCZKuaZSXBFb0cbbCWgi6gubOFdZINNCM2FVkhoKc8nikkCWkIoGcdou0yTv2TdzuWnuzpT1Xin1FMzCwM,https://www.rottentomatoes.com/profiles/pZ0IMKfk1Hpxiy9IlwIp8FgyIRRCZKuaZSXBFb0cbbCWgi6gubOFdZINNCM2FVkhoKc8nikkCWkIoGcdou0yTv2TdzuWnuzpT1Xin1FMzCwM,Jun L,"Apr 15, 2025","Disappointing film compared to Martin Scorsese's other films. Tries to do too many things at once, and unsure of what is being done with Leonardo's character, it's almost like they couldn't decide what he should be, may have been better to put more focus on Lily's character or perspective, or even Robert De Niro's character's POV, but no, most of the film seemed indecisive.",,,
,,,"Apr 10, 2025",Slow and too uneventful,,Tyler,Verified
https://www.rottentomatoes.com/profiles/YkpiGvH9DsaQFgVurvtD4s1WI66CRaix0tJmIMKhKKCqviLXHKmsBLuvvCGDsrqcMwfJvhzzC4YsQxIVdIkJfrPuz8iRKcN9FABHzku4RI1R,,,"Apr 7, 2025",Unique and entertaining,,,
