review,Titre
"The story itself is interesting and important, the acting seems pretty good… but it could have been 90 minutes. Someone else mentioned a “forced history lesson” and that’s how it feels to me too. It’s the same thing happening over and over again. Yes it’s sad and emotional and upsetting, but eventually it gets tedious. If I’m to put my pretentious hat on, maybe that’s the point… that we also get numbed to the plight, but it doesn’t quite work if you were already sold on how bad things were from the start.",killerofthemoon
"An excellent entry in Martin's collection with a great story and amazing acting. Even though it is long, it is very tense and gripping while proving that the western genre still has plenty of life in it when paired with the right people.",killerofthemoon
"The movie is very well done, but difficult to watch what happened to this community. The movie is long and could have benefited from editing/tightening.",killerofthemoon
"This has everything - grief, horror, joy, humor, sadness, greed, ignorance, evil - and made me feel every emotion. The beginning and the score had me thinking this was going to be one thing and then it becomes very clear it is not_going_to_be_that - there is nothing fun about this story of genocide. It is full of incredible performances - Lily Gladstone is understated yet captivating, Robert DeNiro is pure satan, and Leo brilliantly portrays a bumbling, but complicit, fool. Also, the haunting yet beautiful dream / hallucination scenes were a stand out, and I won’t spoil, but I loved the way it ended. My main critique, likely not surprising, is that it had no business being 3.5 hours long; the first 2 hours were so rich and had me glued to the screen, but in the last 1.5 hours I was really struggling to focus and felt frustrated. Could have been perfect at 2.5 hours. “I learned my lesson king” “Can you spot the wolves in this picture?”",killerofthemoon
"Stunning, shocking, brutal and beautiful, but my goodness it’s LONG . Cannot believe if it had been an hour shorter that much would have been lost.",killerofthemoon
I’m a huge fan of DiCaprio but this film was pure garbage. One of few movies I had to turn off before finishing it because it was so boring.,killerofthemoon
"The story is interesting but 3 hours and mid for a story that should be ended 2 hours after we see Apple logo, it is no.",killerofthemoon
"Love a good Scorsese film but this one was not his finest, without spoiling anything it had a strange ending that left me going oh is that it?",killerofthemoon
Great movie. Most people would never know about the massacre if this movie was not made. I don’t know why so many hate this movie,killerofthemoon
"Impeccably made, with masterful direction from a seasoned director, giving us the impression that decades of learning, growing, and mastering his craft can provide us a monumental, sprawling, 3+hrs epic that feels more like it's 2hrs and a bit long, with plenty to soak in, and plenty to reward a return to the film over time. Whilst there is a deft approach to treating the osage culture with the harsh realism of what they faced at the time, there is something vacant, a slight void, perhaps the actual scale of the murders themselves felt a little downplayed. Nonetheless, a must-watch.",killerofthemoon
"Retrata triste e lindamente o Massacre da Tribo Osage, os indígenas mais ricos das Américas, devido ao Petróleo em suas terras, a ambição humana desmedida e maligna… Produção fantástica, um roteiro apaixonante, apesar das 3h e pouca (que eu sempre assisto numa velocidade aceleradinha para acompanhar meu ritmo), o filme flui lindamente, que tampouco percebemos sua longa durabilidade… O desfecho real foi ainda mais triste, os larápios pegaram pena curta e viveram muito, no ostracismo, Mollie tb...",killerofthemoon
"This is a great movie but it is very slow placed and detailed. I enjoyed it and felt the acting from DiCaprio and De Niro was spot on. Martin Scorsese wanted to do the story justice, and I believe he did that. This might be unpopular opinion, but I think this would have made a better two part movie or perhaps a series on Apple TV. I enjoyed it, but at times, it was hard to stay focused and sit still when such a long run time. If you watch it in theaters, you have to prepare yourself. Definitely worth a watch, however, if you struggle with long movies, maybe wait for streaming.",killerofthemoon
